PricePerMeasureMeasure,PricePerMeasure,Description,img,title,pricePerUnit,pricePerUnitUnit
ea,1.00,"<div class=""section"" id=""information"">
<h2 class=""access"">Information</h2>
<h3>Description</h3><p>Sellotape Original Golden Tape 24mm x 50m<br/><br/>Features:<br/>Strong and extra sticky<br/>Clear when applied and easy to unwind<br/>Easy to tear so no need for scissors...or teeth<br/>Anti-tangle for better control<br/>Apply only to clean, dry surfaces</p><hr/>
<p><h3>Important Information</h3><p>The above details have been prepared to help you select suitable products. Products and their ingredients are liable to change.</p><p><strong>You should always read the label before consuming or using the product and never rely solely on the information presented here.</strong></p></p></div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/90/5010305049890/5010305049890_L.jpeg,Sellotape Original Gold Tape 24mm x 50m,1.00,unit
100g,1.13,"<div class=""productText"">
<p>A pesto sauce of basil, cheeses and pine nuts</p>
<p>
<p></p>
</p>
</div>",/wcsstore7.30.4.18/SainsburysStorefrontAssetStore/wcassets/product_images/2017/July/media_474474_L.jpg,Sainsbury's Fresh Green Pesto 150g,1.70,unit
kg,17.65,"<div class=""productText"">
<p>Defrosted Sea Bass filllets (Dicentrarchus labrax) with lemon and parsley</p>
<p>
             
            </p>
<p>
<p>garnished with lemon and parsley </p>
<p></p>
</p>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/85/0000000256285/0000000256285_L.jpeg,Sainsbury's Butterflied Sea Bass 255g,4.50,unit
ltr,31.43,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Rhubarb &amp; Ginger Gin</p>
</div>
<div class=""longTextItems"">
<p>Handcrafted gin</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>A Handcrafted Gin of exceptional quality, inspired by the glory of the English Country Garden.<br/>The essence of Rhubarb adds a tart crisp edge, to the smooth English gin base, whilst the real ginger extract warms the palate for a full bodied complex finish.</p>
</div>
<div class=""memo"">
<p>Distilling gin for 8 generations since 1762</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/28/5011166055228/5011166055228_L.jpeg,Whitley Neill Rhubarb & Ginger Gin 70cl,22.00,unit
100ml,0.60,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Vanilla ice cream with chunks of chocolate chip cookie dough (16%) and chocolatey chunks (1%)</p>
</div>
<div class=""longTextItems"">
<p>Ben &amp; Jerry's Cookie Dough ice cream tub</p>
<p>Vanilla ice cream with chunks of chocolate chip cookie dough</p>
<p>We operate on a three-part mission that aims to create linked prosperity for everyone that’s connected to our business: suppliers, employees, farmers, franchisees, customers, and neighbours alike</p>
<p>Includes Fairtrade certified cocoa, sugar, and vanilla</p>
<p>Kosher certified dairy<br/>Halal certified</p>
<p>Ben &amp; Jerry’s uses responsibly sourced packaging</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Big delicious chunks of chocolate-chip cookie dough surrounded by creamy vanilla ice cream. It seems like such a no-brainer today, but in 1984 it was revolutionary.<br/>The Cookie Dough you know and love started with a simple suggestion: What if you put chunks of chocolate-chip cookie dough into vanilla ice cream? That was the amazing anonymous idea submitted way back in the early days of our first Burlington, Vermont, USA, Scoop Shop. We used to have a bulletin board where people could suggest new flavours for Jerry and Ben to make—and this idea stood out. The folks at the Scoop Shop immediately went to work mixing up a batch of Chocolate Chip Cookie Dough. It was an instant hit.<br/>Initially, the flavour was only available at the Scoop Shop. When we decided to sell it in tubs, we had to figure out how to get that familiar cookie-dough taste, consistency and texture at ice cream temperatures. We teamed up with local producer Rhino Foods and, over an incredible six-year journey, we perfected the cookie dough found in our tubs today. In 1991, Chocolate Chip Cookie Dough began appearing in freezer aisles everywhere. It has remained one of our most popular and beloved flavours ever since!<br/>We work with Fairtrade certified producers for cocoa, sugar, and vanilla, and our Caring Dairy farmers produce the milk and cream in this tub in a sustainable way. All of Ben &amp; Jerry’s ice cream is made with cage-free eggs, and we use responsibly-sourced packaging.</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/0076840600021/0076840600021_L.jpeg,Ben & Jerry's Ice Cream Cookie Dough 500ml,3.00,unit
100g,0.67,"<div class=""productText"">
<p>Pitted Manzanilla olives in a garlic, parsley and basil dressing</p>
<p>
             
            </p>
<p>
<p>Manzanilla Olives </p>
<p>Marinated</p>
</p>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/54/0000000304054/0000000304054_L.jpeg,Sainsbury's Manzanilla Olives With Garlic & Herbs 300g,2.00,unit
100g,0.68,"<div class=""productText"">
<p>Cooked couscous with chickpeas and feta cheese in a tomato and chilli dressing</p>
<p>
             
            </p>
<p>
<p>Tangy &amp; Spicy </p>
<p>in a tomato &amp; chilli dressing </p>
<p></p>
</p>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/44/0000001387544/0000001387544_L.jpeg,"Sainsbury's Giant Cous Cous & Feta Salad, Taste the Difference 220g",1.50,unit
100ml,0.46,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Mixed berry frozen yogurt lolly<br/>Strawberry frozen yogurt lolly<br/>Tropical frozen yogurt lolly</p>
</div>
<div class=""longTextItems"">
<p>74 calories per stick</p>
<p>Contains no artificial colours, flavours or preservatives</p>
<p>Suitable for vegetarians</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Authorised distributor of yoomoo frozen yogurt products in the United Kingdom and the Republic of Ireland.</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/96/5060287760696/5060287760696_L.jpeg,"Yoomoo Frozen Yogurt Lollies Mixed Berry, Tropical & Strawberry 6x330ml",1.50,unit
100ml,0.60,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Chocolate ice cream with marshmallow (15%), caramel (10%) and chocolatey shaped fish (7.5%)</p>
</div>
<div class=""longTextItems"">
<p>Ben &amp; Jerry's Phish Food ice cream tub</p>
<p>Chocolate ice cream with marshmallow, caramel and chocolatey shaped fish</p>
<p>We operate on a three-part mission that aims to create linked prosperity for everyone that’s connected to our business: suppliers, employees, farmers, franchisees, customers, and neighbours alike</p>
<p>Includes Fairtrade certified cocoa, sugar, and vanilla</p>
<p>Kosher certified dairy</p>
<p>Ben &amp; Jerry’s uses responsibly sourced packaging</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Chocolate ice cream with gooey marshmallow, caramel swirls and fudge fish. It’s delicious, but how did it come to be?<br/>Ben had been pondering the lack of a good marshmallow ice cream for years. “Most attempts at marshmallow were wispy. You can see the white streaks, but you can't taste them, you can't feel them, you can't experience the true glorious marshmallowness of it all,” Ben remembers.<br/>Well, back in 1995, we suggested to the rock band Phish that we celebrate our shared Vermont, USA, roots by creating a Phish flavour. As the wheel started turning on the collaboration, Ben saw an opportunity to solve the marshmallow conundrum once and for all. Starting with a base of rich chocolate ice cream, he and our flavour gurus started bringing the band test tubs of the evolving concoction. “We ate a lot of test tubs around the table with Phish. We’ve done flavours with other artists and entities, but nobody was more involved in creating the flavour than Phish was,” Jerry says. The band was instrumental, for example, in calling for caramel swirl, an addition that pushed the flavour over the top.<br/>We work with Fairtrade certified producers for cocoa, sugar and vanilla, and our Caring Dairy farmers produce the milk and cream in this tub in a sustainable way. All of Ben &amp; Jerry’s ice cream is made with non-GMO sourced ingredients and cage-free eggs. Ben &amp; Jerry’s uses responsibly sourced packaging.</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/51/0076840600151/0076840600151_L.jpeg,Ben & Jerry's Ice Cream Phish Food 500ml,3.00,unit
100ml,0.23,"<div class=""itemTypeGroupContainer productText"" style=""page-break-inside : avoid"">
<h3>Description</h3>
<div class=""memo"">
<p>Vanilla ice cream</p>
</div>
<div class=""longTextItems"">
<p>Carte D'Or Vanilla Ice Cream Dessert</p>
<p>Vanilla Ice Cream made with Madagascan Vanilla pods</p>
<p>Rainforest Alliance Certified</p>
<p>Handpicked and sustainably sourced from the Sava region of Madagascar</p>
<p>Now 1 litre</p>
<p>Sustainably sourced</p>
</div>
<div class=""itemTypeGroup"">
<div class=""memo"">
<p>Vanilla Ice Cream at its best. Irresistibly smooth Vanilla ice cream made with real Madagascan vanilla for a delicious, authentic taste. Our Vanilla pods are hand picked &amp; sustainably grown from the Sava region of Madagascar.<br/>Your perfect dessert. Try Carte D'Or Vanilla ice cream today.<br/>Made with hand picked vanilla from Madagascar which is Rainforest Alliance Certified and sustainably sourced which all help Carte D’Or be the Nation’s number 1 Vanilla Ice Cream. On top of that our Carte D’Or Vanilla doesn’t contain any artificial colours and flavours.<br/>Why not try a scoop of scrumptious Carte D’Or Vanilla on the side of your favourite pudding to elevate your dessert to new extremes. Delicious on the side of a piping hot apple crumble and absolutely divine scooped on top of a dark chocolate brownie.<br/>Our delicious Carte D’Or Vanilla is now available in a 1L tub, even more Carte D’Or to enjoy and share with your family and friends.<br/>Carte D’Or has been the expert in Ice Cream for the past 40 years since our beginnings as a dessert restaurant brand in Paris.<br/>For more delicious recipes or dessert inspiration visit www.cartedor.co.uk and for some quick and easy tricks and hacks on how to create a dessert masterpiece visit our Youtube channel: Cartedoruk https://www.youtube.com/watch?v=gSUv7b0ZyW0</p>
</div>
</div>
</div>",/wcsstore7.30.4.18/ExtendedSitesCatalogAssetStore/images/catalog/productImages/19/8714100389119/8714100389119_L.jpeg,Carte D'Or Classic Vanilla Ice Cream Dessert 1L,2.30,unit
